# frame 	 heights
0 6
1000 6
2000 6
3000 6
4000 6
5000 6
6000 6
7000 6
8000 6
9000 6
10000 6
11000 6
12000 6
13000 6
14000 6
15000 6
16000 6
17000 6
18000 6
19000 6
20000 6
21000 6
22000 6
23000 6
24000 6
25000 6
26000 6
27000 6
28000 6
29000 6
30000 6
31000 6
32000 6
33000 6
34000 6
35000 6
36000 6
37000 6
38000 6
39000 6
40000 6
41000 6
42000 6
43000 6
44000 6
45000 6
46000 6
47000 6
48000 6
49000 6
50000 6
51000 6
52000 6
53000 6
54000 6
55000 6
56000 6
57000 6
58000 6
59000 6
60000 6
61000 6
62000 6
63000 6
64000 6
65000 6
66000 6
67000 6
68000 6
69000 6
70000 6
71000 6
72000 6
73000 6
74000 6
75000 6
76000 6
77000 6
78000 6
79000 6
80000 6
81000 6
82000 6
83000 6
84000 6
85000 6
86000 6
87000 6
88000 6
89000 6
90000 6
91000 6
92000 6
93000 6
94000 6
95000 6
96000 6
97000 6
98000 6
99000 6
100000 6
101000 6
102000 6
103000 6
104000 6
105000 6
106000 6
107000 6
108000 6
109000 6
110000 6
111000 6
112000 6
113000 6
114000 6
115000 6
116000 6
117000 6
118000 6
119000 6
120000 6
121000 6
122000 6
123000 6
124000 6
125000 6
126000 6
127000 6
128000 6
129000 6
130000 6
131000 6
132000 6
133000 6
134000 6
135000 6
136000 6
137000 6
138000 6
139000 6
140000 6
141000 6
142000 6
143000 6
144000 6
145000 6
146000 6
147000 6
148000 6
149000 6
150000 6
151000 6
152000 6
153000 6
154000 6
155000 6
156000 6
157000 6
158000 6
159000 6
160000 6
161000 6
162000 6
163000 6
164000 6
165000 6
166000 6
167000 6
168000 6
169000 6
170000 6
171000 6
172000 6
173000 6
174000 6
175000 6
176000 6
177000 6
178000 6
179000 6
180000 6
181000 6
182000 6
183000 6
184000 6
185000 6
186000 6
187000 6
188000 6
189000 6
190000 6
191000 6
192000 6
193000 6
194000 6
195000 6
196000 6
197000 6
198000 6
199000 6
200000 6
201000 6
202000 6
203000 6
204000 6
205000 6
206000 6
207000 6
208000 6
209000 6
210000 6
211000 6
212000 6
213000 6
214000 6
215000 6
216000 6
217000 6
218000 6
219000 6
220000 6
221000 6
222000 6
223000 6
224000 6
225000 6
226000 6
227000 6
228000 6
229000 6
230000 6
231000 6
232000 6
233000 6
234000 6
235000 6
236000 6
237000 6
238000 6
239000 6
240000 6
241000 6
242000 6
243000 6
244000 6
245000 6
246000 6
247000 6
248000 6
249000 6
250000 6
251000 6
252000 6
253000 6
254000 6
255000 6
256000 6
257000 6
258000 6
259000 6
260000 6
261000 6
262000 6
263000 6
264000 6
265000 6
266000 6
267000 6
268000 6
269000 6
270000 6
271000 6
272000 6
273000 6
274000 6
275000 6
276000 6
277000 6
278000 6
279000 6
280000 6
281000 6
282000 6
283000 6
284000 6
285000 6
286000 6
287000 6
288000 6
289000 6
290000 6
291000 6
292000 6
293000 6
294000 6
295000 6
296000 6
297000 6
298000 6
299000 6
300000 6
301000 6
302000 6
303000 6
304000 6
305000 6
306000 6
307000 6
308000 6
309000 6
310000 6
311000 6
312000 6
313000 6
314000 6
315000 6
316000 6
317000 6
318000 6
319000 6
320000 6
321000 6
322000 6
323000 6
324000 6
325000 6
326000 6
327000 6
328000 6
329000 6
330000 6
